Team,Player,Event,Mins,Secs,X,Y,X2,Y2,mitad,tiempo_total,fecha
Estrella,Sanjiau,despeje,0.0,7.0,24.0,28.0,,,1,7.0,1
Estrella,Barneix,despeje,0.0,21.0,15.0,35.0,,,1,21.0,1
Estrella,Sanjiau,despeje,0.0,25.0,30.0,18.0,,,1,25.0,1
Estrella,Tourn,pase,0.0,57.0,35.0,2.0,76.0,6.0,1,57.0,1
Estrella,Marinucci,pase,0.0,58.0,70.0,6.0,56.0,12.0,1,58.0,1
Estrella,Dedomingo,perdida,1.0,0.0,60.0,24.0,,,1,60.0,1
Estrella,Retamozo,recuperacion,1.0,2.0,55.0,37.0,,,1,62.0,1
Estrella,Retamozo,perdida,1.0,4.0,56.0,48.0,,,1,64.0,1
Estrella,Barneix,pase,1.0,12.0,30.0,97.0,85.0,89.0,1,72.0,1
Estrella,Navarro,recuperacion,1.0,13.0,80.0,78.0,,,1,73.0,1
Estrella,Navarro,pase,1.0,17.0,80.0,74.0,73.0,48.0,1,77.0,1
Estrella,Dedomingo,centro,1.0,17.0,70.0,44.0,94.0,58.0,1,77.0,1
Estrella,Tourn,despeje,1.0,32.0,45.0,4.0,,,1,92.0,1
Estrella,Barneix,recuperacion,2.0,4.0,30.0,40.0,,,1,124.0,1
Estrella,Barneix,pase,2.0,4.0,30.0,45.0,35.0,64.0,1,124.0,1
Estrella,Barneix,pase,2.0,8.0,30.0,68.0,64.0,87.0,1,128.0,1
Estrella,Retamozo,despeje,2.0,13.0,30.0,84.0,,,1,133.0,1
Estrella,Sanjiau,tiro libre,3.0,4.0,15.0,27.0,65.0,44.0,1,184.0,1
Estrella,Retamozo,despeje,3.0,8.0,56.0,40.0,,,1,188.0,1
Estrella,Tourn,pase,3.0,31.0,70.0,1.0,70.0,15.0,1,211.0,1
Estrella,Dedomingo,pase,3.0,32.0,70.0,15.0,64.0,3.0,1,212.0,1
Estrella,Barneix,despeje,3.0,54.0,45.0,73.0,,,1,234.0,1
Estrella,Retamozo,recuperacion,3.0,57.0,70.0,48.0,,,1,237.0,1
Estrella,Retamozo,pase,3.0,57.0,70.0,47.0,85.0,71.0,1,237.0,1
Estrella,Sanjiau,despeje,4.0,9.0,49.0,39.0,,,1,249.0,1
Estrella,Retamozo,perdida,4.0,12.0,58.0,48.0,,,1,252.0,1
Estrella,Barneix,pase,4.0,52.0,5.0,61.0,5.0,52.0,1,292.0,1
Estrella,Gerardi,pase,4.0,55.0,4.0,53.0,5.0,76.0,1,295.0,1
Estrella,Barneix,pase,4.0,59.0,5.0,94.0,30.0,84.0,1,299.0,1
Estrella,Dedomingo,recuperacion,5.0,5.0,25.0,71.0,,,1,305.0,1
Estrella,Dedomingo,pase,5.0,7.0,29.0,70.0,35.0,58.0,1,307.0,1
Estrella,Retamozo,perdida,5.0,8.0,35.0,57.0,,,1,308.0,1
Estrella,Romo,falta cometida,5.0,11.0,42.0,47.0,,,1,311.0,1
Estrella,Barneix,despeje,5.0,53.0,10.0,67.0,,,1,353.0,1
Estrella,Gerardi,tiro libre,6.0,40.0,15.0,66.0,65.0,87.0,1,400.0,1
Estrella,Pilat,despeje,6.0,42.0,55.0,81.0,,,1,402.0,1
Estrella,Pilat,pase,7.0,9.0,15.0,97.0,15.0,83.0,1,429.0,1
Estrella,Retamozo,despeje,7.0,9.0,15.0,84.0,,,1,429.0,1
Estrella,Sanjiau,despeje,7.0,19.0,35.0,35.0,,,1,439.0,1
